id,group,name,description,level,value,cost_type,cost
15020704,shadow,그림자 치명타 데미지 증가,그림자의 치명타 데미지가 증가합니다,4,1,Gold,4000
15020705,shadow,그림자 치명타 데미지 증가,그림자의 치명타 데미지가 증가합니다,5,1,Diamond,100
15020706,shadow,그림자 치명타 데미지 증가,그림자의 치명타 데미지가 증가합니다,6,1,Gold,10000
15020707,shadow,그림자 치명타 데미지 증가,그림자의 치명타 데미지가 증가합니다,7,1,Gold,20000
15020708,shadow,그림자 치명타 데미지 증가,그림자의 치명타 데미지가 증가합니다,8,1,Gold,30000
15020709,shadow,그림자 치명타 데미지 증가,그림자의 치명타 데미지가 증가합니다,9,1,Gold,40000
15020710,shadow,그림자 치명타 데미지 증가,그림자의 치명타 데미지가 증가합니다,10,1,Diamond,500
15030101,utility,이동속도,캐릭터의 이동속도가 증가합니다,1,1,Gold,1000
15030102,utility,이동속도,캐릭터의 이동속도가 증가합니다,2,1,Gold,2000
15030103,utility,이동속도,캐릭터의 이동속도가 증가합니다,3,1,Gold,3000
15030104,utility,이동속도,캐릭터의 이동속도가 증가합니다,4,1,Gold,4000
15030105,utility,이동속도,캐릭터의 이동속도가 증가합니다,5,1,Diamond,100
15030106,utility,이동속도,캐릭터의 이동속도가 증가합니다,6,1,Gold,10000
15030107,utility,이동속도,캐릭터의 이동속도가 증가합니다,7,1,Gold,20000
15030108,utility,이동속도,캐릭터의 이동속도가 증가합니다,8,1,Gold,30000
15030109,utility,이동속도,캐릭터의 이동속도가 증가합니다,9,1,Gold,40000
15030110,utility,이동속도,캐릭터의 이동속도가 증가합니다,10,1,Diamond,500
15030201,utility,아이템 획득 범위 증가,아이템 획득 범위가 증가합니다,1,1,Gold,1000
15030202,utility,아이템 획득 범위 증가,아이템 획득 범위가 증가합니다,2,1,Gold,2000
15030203,utility,아이템 획득 범위 증가,아이템 획득 범위가 증가합니다,3,1,Gold,3000
15030204,utility,아이템 획득 범위 증가,아이템 획득 범위가 증가합니다,4,1,Gold,4000
15030205,utility,아이템 획득 범위 증가,아이템 획득 범위가 증가합니다,5,1,Diamond,100
15030206,utility,아이템 획득 범위 증가,아이템 획득 범위가 증가합니다,6,1,Gold,10000
15030207,utility,아이템 획득 범위 증가,아이템 획득 범위가 증가합니다,7,1,Gold,20000
15030208,utility,아이템 획득 범위 증가,아이템 획득 범위가 증가합니다,8,1,Gold,30000
15030209,utility,아이템 획득 범위 증가,아이템 획득 범위가 증가합니다,9,1,Gold,40000
15030210,utility,아이템 획득 범위 증가,아이템 획득 범위가 증가합니다,10,1,Diamond,500
15030301,utility,경험치 획득량 증가,경험치 획득량이 증가합니다,1,1,Gold,1000
15030302,utility,경험치 획득량 증가,경험치 획득량이 증가합니다,2,1,Gold,2000
15030303,utility,경험치 획득량 증가,경험치 획득량이 증가합니다,3,1,Gold,3000
15030304,utility,경험치 획득량 증가,경험치 획득량이 증가합니다,4,1,Gold,4000
15030305,utility,경험치 획득량 증가,경험치 획득량이 증가합니다,5,1,Diamond,100
15030306,utility,경험치 획득량 증가,경험치 획득량이 증가합니다,6,1,Gold,10000
15030307,utility,경험치 획득량 증가,경험치 획득량이 증가합니다,7,1,Gold,20000
15030308,utility,경험치 획득량 증가,경험치 획득량이 증가합니다,8,1,Gold,30000
15030309,utility,경험치 획득량 증가,경험치 획득량이 증가합니다,9,1,Gold,40000
15030310,utility,경험치 획득량 증가,경험치 획득량이 증가합니다,10,1,Diamond,500
15040101,special,시작 그림자 랜덤 변경,구성된 그림자 중 랜덤으로 그림자가 소환됩니다,1,1,Gold,1000
15040101,special,시작 그림자 랜덤 변경,구성된 그림자 중 랜덤으로 그림자가 소환됩니다,2,1,Gold,2000
15040101,special,시작 그림자 랜덤 변경,구성된 그림자 중 랜덤으로 그림자가 소환됩니다,3,1,Gold,3000
15040101,special,시작 그림자 랜덤 변경,구성된 그림자 중 랜덤으로 그림자가 소환됩니다,4,1,Gold,4000
15040101,special,시작 그림자 랜덤 변경,구성된 그림자 중 랜덤으로 그림자가 소환됩니다,5,1,Diamond,100
